id,co,no2,so2,o3,first,grade,pm25,pm10,date,station_id
318604,0.3,23.0,5.0,122.0,1,3,20.0,164.0,2017-04-23 02:00:00.000000,1
318605,0.6,8.0,12.0,136.0,1,2,34.0,107.0,2017-04-23 02:00:00.000000,2
318606,0.4,17.0,14.0,133.0,1,3,36.0,166.0,2017-04-23 02:00:00.000000,3
318607,0.3,29.0,8.0,114.0,1,3,34.0,201.0,2017-04-23 02:00:00.000000,5
318608,0.5,23.0,5.0,133.0,1,3,29.0,188.0,2017-04-23 02:00:00.000000,6
318609,0.3,25.0,6.0,135.0,1,3,31.0,222.0,2017-04-23 02:00:00.000000,7
318610,0.3,18.0,8.0,143.0,1,2,34.0,148.0,2017-04-23 02:00:00.000000,8
318611,0.3,20.0,8.0,130.0,1,3,25.0,174.0,2017-04-23 02:00:00.000000,9
318612,0.4,17.0,12.0,144.0,1,3,35.0,185.0,2017-04-23 02:00:00.000000,10
318613,0.3,16.0,10.0,137.0,1,2,28.0,141.0,2017-04-23 02:00:00.000000,11
318614,0.3,14.0,10.0,140.0,1,3,35.0,193.0,2017-04-23 02:00:00.000000,12
318615,0.4,20.0,9.0,137.0,1,3,71.0,200.0,2017-04-23 02:00:00.000000,13
318616,0.5,45.0,8.0,107.0,1,3,47.0,195.0,2017-04-23 02:00:00.000000,14
318617,0.1,17.0,9.0,123.0,1,3,33.0,230.0,2017-04-23 02:00:00.000000,15
318618,0.4,24.0,10.0,110.0,1,3,57.0,213.0,2017-04-23 02:00:00.000000,17
318619,0.4,31.0,16.0,150.0,1,3,52.0,212.0,2017-04-23 02:00:00.000000,18
318620,0.3,17.0,12.0,145.0,1,3,66.0,200.0,2017-04-23 02:00:00.000000,19
318621,0.6,21.0,12.0,141.0,1,3,67.0,199.0,2017-04-23 02:00:00.000000,20
318622,0.4,26.0,9.0,124.0,1,3,87.0,192.0,2017-04-23 02:00:00.000000,21
318623,0.4,43.0,11.0,117.0,1,3,43.0,178.0,2017-04-23 02:00:00.000000,23
