id,co,no2,so2,o3,first,grade,pm25,pm10,date,station_id
318624,0.3,12.0,7.0,132.0,1,4,72.0,321.0,2017-04-23 02:00:00.000000,24
318625,0.3,14.0,7.0,133.0,1,2,37.0,144.0,2017-04-23 02:00:00.000000,25
318626,0.2,20.0,12.0,125.0,1,2,55.0,116.0,2017-04-23 02:00:00.000000,26
318627,0.3,16.0,8.0,143.0,1,3,51.0,170.0,2017-04-23 02:00:00.000000,27
318628,0.4,29.0,9.0,132.0,1,3,45.0,198.0,2017-04-23 02:00:00.000000,28
318629,0.4,21.0,12.0,135.0,1,3,45.0,192.0,2017-04-23 02:00:00.000000,29
318630,0.3,18.0,12.0,124.0,1,3,51.0,169.0,2017-04-23 02:00:00.000000,32
318631,0.5,52.0,20.0,89.0,1,3,65.0,159.0,2017-04-23 02:00:00.000000,34
318632,0.4,20.0,13.0,131.0,1,4,51.0,286.0,2017-04-23 02:00:00.000000,37
318633,0.4,27.0,11.0,114.0,1,2,43.0,126.0,2017-04-23 02:00:00.000000,38
318634,0.4,20.0,15.0,144.0,1,2,37.0,113.0,2017-04-23 02:00:00.000000,40
318635,0.2,46.0,12.0,102.0,3,1,33.0,0.0,2017-04-23 02:00:00.000000,41
318636,0.3,14.0,9.0,110.0,1,2,45.0,125.0,2017-04-23 02:00:00.000000,43
318637,0.3,19.0,10.0,115.0,1,3,65.0,153.0,2017-04-23 02:00:00.000000,46
318638,0.6,61.0,17.0,119.0,1,2,35.0,141.0,2017-04-23 02:00:00.000000,47
318639,0.3,23.0,5.0,122.0,1,3,20.0,164.0,2017-04-23 02:00:00.000000,1
318640,0.6,8.0,12.0,136.0,1,2,34.0,107.0,2017-04-23 02:00:00.000000,2
318641,0.4,17.0,14.0,133.0,1,3,36.0,166.0,2017-04-23 02:00:00.000000,3
318642,0.3,29.0,8.0,114.0,1,3,34.0,201.0,2017-04-23 02:00:00.000000,5
318643,0.5,23.0,5.0,133.0,1,3,29.0,188.0,2017-04-23 02:00:00.000000,6
318644,0.3,25.0,6.0,135.0,1,3,31.0,222.0,2017-04-23 02:00:00.000000,7
318645,0.3,18.0,8.0,143.0,1,2,34.0,148.0,2017-04-23 02:00:00.000000,8
318646,0.3,20.0,8.0,130.0,1,3,25.0,174.0,2017-04-23 02:00:00.000000,9
318647,0.4,17.0,12.0,144.0,1,3,35.0,185.0,2017-04-23 02:00:00.000000,10
318648,0.3,16.0,10.0,137.0,1,2,28.0,141.0,2017-04-23 02:00:00.000000,11
318649,0.3,14.0,10.0,140.0,1,3,35.0,193.0,2017-04-23 02:00:00.000000,12
318650,0.4,20.0,9.0,137.0,1,3,71.0,200.0,2017-04-23 02:00:00.000000,13
318651,0.5,45.0,8.0,107.0,1,3,47.0,195.0,2017-04-23 02:00:00.000000,14
318652,0.1,17.0,9.0,123.0,1,3,33.0,230.0,2017-04-23 02:00:00.000000,15
318653,0.4,24.0,10.0,110.0,1,3,57.0,213.0,2017-04-23 02:00:00.000000,17
318654,0.4,31.0,16.0,150.0,1,3,52.0,212.0,2017-04-23 02:00:00.000000,18
318655,0.3,17.0,12.0,145.0,1,3,66.0,200.0,2017-04-23 02:00:00.000000,19
318656,0.6,21.0,12.0,141.0,1,3,67.0,199.0,2017-04-23 02:00:00.000000,20
318657,0.4,26.0,9.0,124.0,1,3,87.0,192.0,2017-04-23 02:00:00.000000,21
318658,0.4,43.0,11.0,117.0,1,3,43.0,178.0,2017-04-23 02:00:00.000000,23
318659,0.3,12.0,7.0,132.0,1,4,72.0,321.0,2017-04-23 02:00:00.000000,24
318660,0.3,14.0,7.0,133.0,1,2,37.0,144.0,2017-04-23 02:00:00.000000,25
318661,0.2,20.0,12.0,125.0,1,2,55.0,116.0,2017-04-23 02:00:00.000000,26
318662,0.3,16.0,8.0,143.0,1,3,51.0,170.0,2017-04-23 02:00:00.000000,27
318663,0.4,29.0,9.0,132.0,1,3,45.0,198.0,2017-04-23 02:00:00.000000,28
318664,0.4,21.0,12.0,135.0,1,3,45.0,192.0,2017-04-23 02:00:00.000000,29
318665,0.3,18.0,12.0,124.0,1,3,51.0,169.0,2017-04-23 02:00:00.000000,32
318666,0.5,52.0,20.0,89.0,1,3,65.0,159.0,2017-04-23 02:00:00.000000,34
318667,0.4,20.0,13.0,131.0,1,4,51.0,286.0,2017-04-23 02:00:00.000000,37
318668,0.4,27.0,11.0,114.0,1,2,43.0,126.0,2017-04-23 02:00:00.000000,38
318669,0.4,20.0,15.0,144.0,1,2,37.0,113.0,2017-04-23 02:00:00.000000,40
318670,0.2,46.0,12.0,102.0,3,1,33.0,0.0,2017-04-23 02:00:00.000000,41
318671,0.3,14.0,9.0,110.0,1,2,45.0,125.0,2017-04-23 02:00:00.000000,43
318672,0.3,19.0,10.0,115.0,1,3,65.0,153.0,2017-04-23 02:00:00.000000,46
318673,0.6,61.0,17.0,119.0,1,2,35.0,141.0,2017-04-23 02:00:00.000000,47
318674,0.5,29.0,11.0,106.0,1,2,36.0,128.0,2017-04-23 06:00:00.000000,1
318675,0.6,14.0,11.0,104.0,1,2,44.0,142.0,2017-04-23 06:00:00.000000,2
318676,0.6,19.0,14.0,107.0,1,2,23.0,112.0,2017-04-23 06:00:00.000000,3
318677,0.6,42.0,13.0,86.0,1,2,42.0,141.0,2017-04-23 06:00:00.000000,5
318678,0.7,30.0,6.0,106.0,1,2,27.0,116.0,2017-04-23 06:00:00.000000,6
318679,0.4,36.0,10.0,102.0,1,2,36.0,150.0,2017-04-23 06:00:00.000000,7
318680,0.5,20.0,12.0,121.0,1,3,49.0,174.0,2017-04-23 06:00:00.000000,8
318681,0.5,29.0,15.0,105.0,1,3,36.0,203.0,2017-04-23 06:00:00.000000,9
318682,0.5,27.0,12.0,101.0,3,2,71.0,120.0,2017-04-23 06:00:00.000000,10
318683,0.4,23.0,14.0,105.0,1,2,37.0,144.0,2017-04-23 06:00:00.000000,11
318684,0.4,14.0,10.0,121.0,1,2,28.0,101.0,2017-04-23 06:00:00.000000,12
318685,0.5,25.0,13.0,111.0,1,2,33.0,147.0,2017-04-23 06:00:00.000000,13
318686,0.5,68.0,12.0,63.0,1,3,47.0,174.0,2017-04-23 06:00:00.000000,14
318687,0.6,30.0,14.0,96.0,1,3,32.0,159.0,2017-04-23 06:00:00.000000,15
318688,0.5,40.0,8.0,67.0,1,2,46.0,122.0,2017-04-23 06:00:00.000000,17
318689,0.6,79.0,14.0,65.0,1,3,71.0,181.0,2017-04-23 06:00:00.000000,18
318690,0.4,28.0,8.0,105.0,1,3,50.0,158.0,2017-04-23 06:00:00.000000,19
318691,0.8,25.0,22.0,111.0,1,2,31.0,113.0,2017-04-23 06:00:00.000000,20
318692,0.4,21.0,7.0,92.0,1,2,25.0,103.0,2017-04-23 06:00:00.000000,21
318693,0.0,0.0,0.0,0.0,x,7,0.0,0.0,2017-04-23 06:00:00.000000,23
318694,0.5,23.0,13.0,103.0,3,5,155.0,178.0,2017-04-23 06:00:00.000000,24
318695,0.6,20.0,14.0,112.0,1,2,38.0,147.0,2017-04-23 06:00:00.000000,25
318696,0.5,29.0,17.0,101.0,1,2,38.0,117.0,2017-04-23 06:00:00.000000,26
318697,0.6,22.0,15.0,123.0,1,3,44.0,218.0,2017-04-23 06:00:00.000000,27
318698,0.5,24.0,10.0,117.0,1,2,38.0,122.0,2017-04-23 06:00:00.000000,28
318699,0.6,31.0,14.0,99.0,1,2,39.0,142.0,2017-04-23 06:00:00.000000,29
318700,0.5,28.0,18.0,97.0,1,2,46.0,149.0,2017-04-23 06:00:00.000000,32
318701,0.7,66.0,26.0,68.0,1,2,36.0,130.0,2017-04-23 06:00:00.000000,34
318702,0.5,18.0,12.0,110.0,1,2,37.0,100.0,2017-04-23 06:00:00.000000,37
318703,0.6,31.0,14.0,92.0,1,2,50.0,125.0,2017-04-23 06:00:00.000000,38
318704,0.5,24.0,17.0,129.0,1,2,52.0,128.0,2017-04-23 06:00:00.000000,40
318705,0.4,47.0,21.0,88.0,3,2,45.0,0.0,2017-04-23 06:00:00.000000,41
318706,0.5,17.0,11.0,91.0,1,2,52.0,150.0,2017-04-23 06:00:00.000000,43
318707,0.6,20.0,15.0,101.0,1,2,34.0,137.0,2017-04-23 06:00:00.000000,46
318708,0.8,65.0,22.0,93.0,1,2,41.0,147.0,2017-04-23 06:00:00.000000,47
318709,0.5,33.0,14.0,96.0,1,2,40.0,148.0,2017-04-23 07:00:00.000000,1
318710,0.6,16.0,32.0,96.0,3,3,104.0,106.0,2017-04-23 07:00:00.000000,2
318711,0.6,21.0,13.0,93.0,1,2,29.0,100.0,2017-04-23 07:00:00.000000,3
318712,0.6,43.0,15.0,81.0,1,3,42.0,152.0,2017-04-23 07:00:00.000000,5
318713,0.7,31.0,6.0,100.0,1,3,33.0,152.0,2017-04-23 07:00:00.000000,6
318714,0.3,24.0,5.0,93.0,3,1,30.0,41.0,2017-04-23 07:00:00.000000,7
318715,0.5,19.0,12.0,118.0,1,2,51.0,139.0,2017-04-23 07:00:00.000000,8
318716,0.6,38.0,16.0,88.0,1,2,38.0,142.0,2017-04-23 07:00:00.000000,9
318717,0.6,27.0,21.0,97.0,1,2,46.0,116.0,2017-04-23 07:00:00.000000,10
318718,0.5,28.0,16.0,92.0,1,2,44.0,141.0,2017-04-23 07:00:00.000000,11
318719,0.4,15.0,10.0,111.0,1,2,28.0,80.0,2017-04-23 07:00:00.000000,12
318720,0.6,41.0,10.0,76.0,1,2,47.0,142.0,2017-04-23 07:00:00.000000,13
318721,0.5,53.0,8.0,70.0,1,2,34.0,90.0,2017-04-23 07:00:00.000000,14
318722,0.6,32.0,16.0,92.0,1,3,42.0,161.0,2017-04-23 07:00:00.000000,15
318723,0.4,36.0,7.0,68.0,1,2,36.0,112.0,2017-04-23 07:00:00.000000,17
318724,0.7,108.0,16.0,25.0,1,3,53.0,175.0,2017-04-23 07:00:00.000000,18
318725,0.5,27.0,17.0,104.0,1,3,66.0,153.0,2017-04-23 07:00:00.000000,19
318726,0.8,26.0,24.0,103.0,1,2,37.0,119.0,2017-04-23 07:00:00.000000,20
318727,0.4,18.0,8.0,101.0,1,2,27.0,100.0,2017-04-23 07:00:00.000000,21
318728,0.7,44.0,18.0,97.0,1,2,41.0,149.0,2017-04-23 07:00:00.000000,23
318729,0.5,23.0,15.0,100.0,3,4,135.0,155.0,2017-04-23 07:00:00.000000,24
318730,0.6,26.0,17.0,100.0,1,2,49.0,145.0,2017-04-23 07:00:00.000000,25
318731,0.5,34.0,17.0,91.0,1,2,44.0,109.0,2017-04-23 07:00:00.000000,26
318732,0.6,24.0,18.0,115.0,1,3,57.0,162.0,2017-04-23 07:00:00.000000,27
318733,0.5,29.0,11.0,105.0,1,2,40.0,125.0,2017-04-23 07:00:00.000000,28
318734,0.6,40.0,16.0,85.0,1,2,43.0,129.0,2017-04-23 07:00:00.000000,29
318735,0.6,29.0,20.0,91.0,1,3,54.0,169.0,2017-04-23 07:00:00.000000,32
318736,0.6,52.0,28.0,71.0,1,2,47.0,144.0,2017-04-23 07:00:00.000000,34
318737,0.6,53.0,11.0,62.0,1,2,45.0,105.0,2017-04-23 07:00:00.000000,37
318738,0.6,38.0,15.0,77.0,1,2,49.0,125.0,2017-04-23 07:00:00.000000,38
318739,0.4,27.0,18.0,118.0,1,2,51.0,96.0,2017-04-23 07:00:00.000000,40
318740,0.4,47.0,23.0,84.0,3,2,49.0,0.0,2017-04-23 07:00:00.000000,41
318741,0.4,19.0,11.0,83.0,1,2,55.0,121.0,2017-04-23 07:00:00.000000,43
318742,0.5,21.0,18.0,92.0,1,3,74.0,168.0,2017-04-23 07:00:00.000000,46
318743,0.8,61.0,25.0,92.0,1,2,42.0,140.0,2017-04-23 07:00:00.000000,47
318744,0.5,35.0,15.0,90.0,1,2,45.0,123.0,2017-04-23 08:00:00.000000,1
318745,0.7,22.0,28.0,79.0,4,1,0.0,0.0,2017-04-23 08:00:00.000000,2
318746,0.6,24.0,10.0,81.0,1,2,34.0,91.0,2017-04-23 08:00:00.000000,3
318747,0.6,50.0,16.0,69.0,1,2,45.0,131.0,2017-04-23 08:00:00.000000,5
318748,0.8,36.0,6.0,91.0,1,2,42.0,114.0,2017-04-23 08:00:00.000000,6
318749,0.1,7.0,2.0,96.0,1,2,12.0,58.0,2017-04-23 08:00:00.000000,7
318750,0.5,21.0,11.0,109.0,1,2,59.0,124.0,2017-04-23 08:00:00.000000,8
318751,0.6,39.0,17.0,79.0,1,2,44.0,129.0,2017-04-23 08:00:00.000000,9
318752,0.6,27.0,20.0,96.0,3,2,65.0,99.0,2017-04-23 08:00:00.000000,10
318753,0.5,31.0,15.0,87.0,1,2,47.0,127.0,2017-04-23 08:00:00.000000,11
318754,0.4,18.0,10.0,99.0,1,2,32.0,120.0,2017-04-23 08:00:00.000000,12
318755,0.6,56.0,7.0,52.0,1,3,40.0,152.0,2017-04-23 08:00:00.000000,13
318756,0.4,69.0,7.0,28.0,1,2,22.0,108.0,2017-04-23 08:00:00.000000,14
318757,0.6,34.0,18.0,86.0,3,3,78.0,133.0,2017-04-23 08:00:00.000000,15
318758,0.4,32.0,8.0,70.0,1,2,32.0,87.0,2017-04-23 08:00:00.000000,17
318759,0.7,102.0,15.0,23.0,1,3,50.0,177.0,2017-04-23 08:00:00.000000,18
318760,0.5,28.0,22.0,102.0,3,2,73.0,142.0,2017-04-23 08:00:00.000000,19
318761,0.8,22.0,20.0,105.0,1,2,44.0,115.0,2017-04-23 08:00:00.000000,20
318762,0.3,12.0,5.0,96.0,1,2,29.0,63.0,2017-04-23 08:00:00.000000,21
318763,0.7,49.0,20.0,88.0,1,2,49.0,124.0,2017-04-23 08:00:00.000000,23
318764,0.5,25.0,16.0,94.0,3,3,77.0,126.0,2017-04-23 08:00:00.000000,24
318765,0.6,29.0,16.0,94.0,1,2,52.0,121.0,2017-04-23 08:00:00.000000,25
318766,0.5,36.0,19.0,84.0,1,2,48.0,98.0,2017-04-23 08:00:00.000000,26
318767,0.6,29.0,18.0,103.0,1,2,58.0,145.0,2017-04-23 08:00:00.000000,27
318768,0.6,52.0,10.0,68.0,1,2,41.0,133.0,2017-04-23 08:00:00.000000,28
318769,0.7,45.0,16.0,80.0,1,2,50.0,145.0,2017-04-23 08:00:00.000000,29
318770,0.6,32.0,21.0,83.0,1,2,53.0,128.0,2017-04-23 08:00:00.000000,32
318771,0.6,70.0,29.0,57.0,1,3,51.0,160.0,2017-04-23 08:00:00.000000,34
318772,0.6,77.0,6.0,18.0,1,3,49.0,173.0,2017-04-23 08:00:00.000000,37
318773,0.7,45.0,13.0,66.0,1,2,53.0,134.0,2017-04-23 08:00:00.000000,38
318774,0.4,30.0,18.0,102.0,3,2,56.0,81.0,2017-04-23 08:00:00.000000,40
318775,0.4,47.0,24.0,77.0,3,2,53.0,0.0,2017-04-23 08:00:00.000000,41
318776,0.4,17.0,10.0,82.0,3,2,56.0,92.0,2017-04-23 08:00:00.000000,43
318777,0.5,25.0,17.0,81.0,3,2,69.0,111.0,2017-04-23 08:00:00.000000,46
318778,0.8,61.0,25.0,86.0,1,2,47.0,119.0,2017-04-23 08:00:00.000000,47
318779,0.5,42.0,15.0,76.0,1,2,45.0,110.0,2017-04-23 09:00:00.000000,1
318780,0.8,21.0,24.0,79.0,3,5,157.0,0.0,2017-04-23 09:00:00.000000,2
318781,0.5,28.0,8.0,71.0,1,2,24.0,85.0,2017-04-23 09:00:00.000000,3
318782,0.6,83.0,13.0,26.0,1,2,54.0,145.0,2017-04-23 09:00:00.000000,5
318783,0.8,55.0,6.0,61.0,1,2,47.0,136.0,2017-04-23 09:00:00.000000,6
318784,0.1,13.0,2.0,82.0,1,2,12.0,57.0,2017-04-23 09:00:00.000000,7
318785,0.6,24.0,10.0,91.0,1,2,54.0,99.0,2017-04-23 09:00:00.000000,8
318786,0.6,38.0,18.0,77.0,1,2,40.0,121.0,2017-04-23 09:00:00.000000,9
318787,0.6,31.0,18.0,88.0,3,2,65.0,106.0,2017-04-23 09:00:00.000000,10
318788,0.6,33.0,11.0,76.0,1,2,45.0,150.0,2017-04-23 09:00:00.000000,11
318789,0.4,15.0,8.0,87.0,1,2,27.0,127.0,2017-04-23 09:00:00.000000,12
318790,0.5,26.0,7.0,70.0,1,2,42.0,142.0,2017-04-23 09:00:00.000000,13
318791,0.5,64.0,10.0,23.0,1,2,18.0,115.0,2017-04-23 09:00:00.000000,14
318792,0.6,49.0,16.0,63.0,1,2,56.0,124.0,2017-04-23 09:00:00.000000,15
318793,0.2,13.0,2.0,54.0,1,2,25.0,68.0,2017-04-23 09:00:00.000000,17
318794,0.8,114.0,14.0,2.0,1,3,77.0,220.0,2017-04-23 09:00:00.000000,18
318795,0.5,41.0,20.0,83.0,3,2,72.0,132.0,2017-04-23 09:00:00.000000,19
318796,0.8,30.0,18.0,89.0,3,2,67.0,122.0,2017-04-23 09:00:00.000000,20
318797,0.2,4.0,2.0,87.0,4,1,15.0,26.0,2017-04-23 09:00:00.000000,21
318798,0.7,59.0,19.0,69.0,1,2,48.0,109.0,2017-04-23 09:00:00.000000,23
318799,0.6,33.0,16.0,75.0,3,2,71.0,112.0,2017-04-23 09:00:00.000000,24
318800,0.6,34.0,15.0,79.0,1,2,50.0,113.0,2017-04-23 09:00:00.000000,25
318801,0.5,56.0,17.0,53.0,3,2,49.0,74.0,2017-04-23 09:00:00.000000,26
318802,0.7,35.0,18.0,85.0,1,2,57.0,128.0,2017-04-23 09:00:00.000000,27
318803,0.6,54.0,9.0,55.0,1,2,44.0,104.0,2017-04-23 09:00:00.000000,28
318804,0.8,58.0,14.0,51.0,1,2,50.0,135.0,2017-04-23 09:00:00.000000,29
318805,0.6,43.0,18.0,55.0,1,2,53.0,141.0,2017-04-23 09:00:00.000000,32
318806,0.6,86.0,28.0,35.0,1,2,54.0,130.0,2017-04-23 09:00:00.000000,34
318807,0.6,80.0,4.0,5.0,3,2,52.0,91.0,2017-04-23 09:00:00.000000,37
318808,0.7,49.0,9.0,53.0,1,3,49.0,151.0,2017-04-23 09:00:00.000000,38
318809,0.5,32.0,21.0,90.0,3,2,49.0,68.0,2017-04-23 09:00:00.000000,40
318810,0.4,53.0,20.0,60.0,3,2,53.0,0.0,2017-04-23 09:00:00.000000,41
318811,0.4,18.0,12.0,79.0,3,2,62.0,79.0,2017-04-23 09:00:00.000000,43
318812,0.6,29.0,16.0,69.0,1,2,47.0,103.0,2017-04-23 09:00:00.000000,46
318813,1.0,84.0,22.0,55.0,1,2,46.0,118.0,2017-04-23 09:00:00.000000,47
318814,0.4,46.0,8.0,55.0,3,1,29.0,34.0,2017-04-23 10:00:00.000000,1
318815,0.7,21.0,22.0,78.0,3,2,73.0,97.0,2017-04-23 10:00:00.000000,2
318816,0.3,22.0,3.0,62.0,1,2,12.0,67.0,2017-04-23 10:00:00.000000,3
318817,0.6,92.0,8.0,6.0,3,3,84.0,117.0,2017-04-23 10:00:00.000000,5
318818,0.8,77.0,6.0,29.0,1,2,51.0,118.0,2017-04-23 10:00:00.000000,6
318819,0.2,40.0,3.0,45.0,1,2,3.0,70.0,2017-04-23 10:00:00.000000,7
318820,0.6,26.0,8.0,78.0,1,2,53.0,104.0,2017-04-23 10:00:00.000000,8
318821,0.6,49.0,13.0,55.0,1,2,43.0,126.0,2017-04-23 10:00:00.000000,9
318822,0.6,56.0,13.0,55.0,3,2,57.0,101.0,2017-04-23 10:00:00.000000,10
318823,0.6,37.0,11.0,67.0,1,2,49.0,140.0,2017-04-23 10:00:00.000000,11
318824,0.4,13.0,7.0,85.0,1,2,34.0,66.0,2017-04-23 10:00:00.000000,12
318825,0.4,13.0,5.0,76.0,1,2,29.0,124.0,2017-04-23 10:00:00.000000,13
318826,0.4,42.0,6.0,46.0,1,2,13.0,65.0,2017-04-23 10:00:00.000000,14
318827,0.4,39.0,6.0,53.0,1,2,36.0,66.0,2017-04-23 10:00:00.000000,15
318828,0.1,7.0,5.0,34.0,1,1,8.0,44.0,2017-04-23 10:00:00.000000,17
318829,0.5,88.0,10.0,18.0,1,2,52.0,124.0,2017-04-23 10:00:00.000000,18
318830,0.6,72.0,15.0,45.0,3,3,76.0,142.0,2017-04-23 10:00:00.000000,19
318831,0.8,39.0,13.0,66.0,3,2,71.0,95.0,2017-04-23 10:00:00.000000,20
318832,0.2,3.0,2.0,88.0,1,1,11.0,33.0,2017-04-23 10:00:00.000000,21
318833,0.5,38.0,4.0,68.0,3,2,39.0,44.0,2017-04-23 10:00:00.000000,23
318834,0.3,24.0,2.0,49.0,3,2,47.0,0.0,2017-04-23 10:00:00.000000,24
318835,0.5,42.0,4.0,52.0,1,2,33.0,66.0,2017-04-23 10:00:00.000000,25
318836,0.2,34.0,2.0,54.0,3,2,48.0,0.0,2017-04-23 10:00:00.000000,26
318837,0.4,29.0,3.0,68.0,3,2,40.0,43.0,2017-04-23 10:00:00.000000,27
318838,0.6,32.0,7.0,75.0,1,2,36.0,84.0,2017-04-23 10:00:00.000000,28
318839,0.9,101.0,12.0,3.0,1,3,53.0,155.0,2017-04-23 10:00:00.000000,29
318840,0.3,35.0,2.0,38.0,3,2,38.0,0.0,2017-04-23 10:00:00.000000,32
318841,0.5,72.0,14.0,33.0,1,2,39.0,114.0,2017-04-23 10:00:00.000000,34
318842,0.0,0.0,0.0,0.0,x,7,0.0,0.0,2017-04-23 10:00:00.000000,37
318843,0.6,85.0,4.0,15.0,1,2,42.0,93.0,2017-04-23 10:00:00.000000,38
318844,0.5,36.0,24.0,78.0,3,2,51.0,69.0,2017-04-23 10:00:00.000000,40
318845,0.4,89.0,16.0,16.0,3,2,65.0,0.0,2017-04-23 10:00:00.000000,41
318846,0.4,16.0,12.0,70.0,3,2,63.0,79.0,2017-04-23 10:00:00.000000,43
318847,0.4,44.0,9.0,40.0,1,2,34.0,71.0,2017-04-23 10:00:00.000000,46
318848,0.4,64.0,6.0,50.0,5,1,20.0,21.0,2017-04-23 10:00:00.000000,47
318849,0.2,18.0,4.0,69.0,1,1,7.0,44.0,2017-04-23 11:00:00.000000,1
318850,0.6,20.0,14.0,60.0,3,2,62.0,99.0,2017-04-23 11:00:00.000000,2
318851,0.3,19.0,2.0,63.0,1,2,16.0,57.0,2017-04-23 11:00:00.000000,3
318852,0.3,56.0,4.0,24.0,3,2,51.0,73.0,2017-04-23 11:00:00.000000,5
318853,0.7,43.0,6.0,58.0,1,2,37.0,90.0,2017-04-23 11:00:00.000000,6
318854,0.1,25.0,2.0,56.0,1,1,14.0,24.0,2017-04-23 11:00:00.000000,7
318855,0.5,27.0,7.0,73.0,1,2,46.0,106.0,2017-04-23 11:00:00.000000,8
318856,0.6,72.0,12.0,31.0,1,2,56.0,146.0,2017-04-23 11:00:00.000000,9
318857,0.2,33.0,4.0,65.0,1,2,20.0,52.0,2017-04-23 11:00:00.000000,10
318858,0.6,83.0,10.0,18.0,1,3,46.0,154.0,2017-04-23 11:00:00.000000,11
318859,0.1,3.0,2.0,82.0,4,1,9.0,0.0,2017-04-23 11:00:00.000000,12
318860,0.4,12.0,4.0,77.0,1,2,27.0,95.0,2017-04-23 11:00:00.000000,13
318861,0.4,45.0,8.0,45.0,1,2,9.0,57.0,2017-04-23 11:00:00.000000,14
318862,0.2,17.0,2.0,64.0,1,2,14.0,60.0,2017-04-23 11:00:00.000000,15
318863,0.2,6.0,2.0,43.0,1,2,15.0,56.0,2017-04-23 11:00:00.000000,17
318864,0.2,25.0,3.0,88.0,1,1,11.0,41.0,2017-04-23 11:00:00.000000,18
318865,0.5,70.0,13.0,36.0,1,2,61.0,119.0,2017-04-23 11:00:00.000000,19
318866,0.6,46.0,8.0,47.0,3,2,52.0,59.0,2017-04-23 11:00:00.000000,20
318867,0.2,3.0,2.0,0.0,1,1,4.0,38.0,2017-04-23 11:00:00.000000,21
318868,0.2,17.0,2.0,81.0,1,1,14.0,38.0,2017-04-23 11:00:00.000000,23
318869,0.2,8.0,2.0,59.0,1,1,27.0,41.0,2017-04-23 11:00:00.000000,24
318870,0.2,25.0,2.0,66.0,1,2,22.0,60.0,2017-04-23 11:00:00.000000,25
318871,0.1,13.0,2.0,75.0,1,1,10.0,26.0,2017-04-23 11:00:00.000000,26
318872,0.2,9.0,2.0,86.0,1,1,21.0,40.0,2017-04-23 11:00:00.000000,27
318873,0.3,12.0,3.0,83.0,1,1,23.0,45.0,2017-04-23 11:00:00.000000,28
318874,0.5,74.0,8.0,11.0,1,2,40.0,84.0,2017-04-23 11:00:00.000000,29
318875,0.2,13.0,2.0,57.0,1,1,11.0,45.0,2017-04-23 11:00:00.000000,32
318876,0.2,35.0,9.0,50.0,1,1,12.0,29.0,2017-04-23 11:00:00.000000,34
318877,0.3,22.0,3.0,58.0,1,1,15.0,28.0,2017-04-23 11:00:00.000000,37
318878,0.2,51.0,2.0,29.0,3,1,23.0,0.0,2017-04-23 11:00:00.000000,38
318879,0.6,45.0,23.0,61.0,3,2,61.0,63.0,2017-04-23 11:00:00.000000,40
318880,0.4,100.0,13.0,2.0,3,2,72.0,0.0,2017-04-23 11:00:00.000000,41
318881,0.4,17.0,9.0,58.0,3,2,56.0,79.0,2017-04-23 11:00:00.000000,43
318882,0.2,15.0,2.0,65.0,1,1,10.0,40.0,2017-04-23 11:00:00.000000,46
318883,0.2,36.0,4.0,70.0,1,1,10.0,37.0,2017-04-23 11:00:00.000000,47
318884,0.2,18.0,4.0,69.0,1,1,7.0,44.0,2017-04-23 11:00:00.000000,1
318885,0.6,20.0,14.0,60.0,3,2,62.0,99.0,2017-04-23 11:00:00.000000,2
318886,0.3,19.0,2.0,63.0,1,2,16.0,57.0,2017-04-23 11:00:00.000000,3
318887,0.3,56.0,4.0,24.0,3,2,51.0,73.0,2017-04-23 11:00:00.000000,5
